"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","849","Navigation from login page to registration page","LMS system","Wed May 27 12:28:21 UTC 2026","passed","Wed May 27 12:28:22 UTC 2026","Authorization","Authentication","",""
"","1264","User login with wrong email or password","LMS system","Wed May 27 12:28:16 UTC 2026","passed","Wed May 27 12:28:17 UTC 2026","Authorization","Authentication","",""
"","1061","User login with wrong email or password","LMS system","Wed May 27 12:28:17 UTC 2026","passed","Wed May 27 12:28:19 UTC 2026","Authorization","Authentication","",""
"","1077","Check displaying of dashboard page","LMS system","Wed May 27 12:28:28 UTC 2026","passed","Wed May 27 12:28:29 UTC 2026","Dashboard","Dashboard","",""
"","1223","Registration with correct email, username and password","LMS system","Wed May 27 12:28:19 UTC 2026","passed","Wed May 27 12:28:20 UTC 2026","Registration","Authentication","",""
"","951","Check displaying of empty courses list","LMS system","Wed May 27 12:28:22 UTC 2026","passed","Wed May 27 12:28:23 UTC 2026","Courses","Courses","",""
"","1221","User login with wrong email or password","LMS system","Wed May 27 12:28:16 UTC 2026","passed","Wed May 27 12:28:17 UTC 2026","Authorization","Authentication","",""
"","3379","Create course","LMS system","Wed May 27 12:28:23 UTC 2026","passed","Wed May 27 12:28:26 UTC 2026","Courses","Courses","",""
"","2950","User login with correct email and password","LMS system","Wed May 27 12:28:17 UTC 2026","passed","Wed May 27 12:28:20 UTC 2026","Authorization","Authentication","",""
"","3745","Edit course","LMS system","Wed May 27 12:28:23 UTC 2026","passed","Wed May 27 12:28:27 UTC 2026","Courses","Courses","",""
